YEAR,MONTH,CATEGORY,ITEM CODE,WINE NAME,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES,QUANTITY,IMAGE,PRICE PER UNIT,CUSTOMER ID,DATE,SPENDING LEVEL,DESCRIPTION
2015,1,red wine,10387,Sangiovese,1.42,0.0,2.0,2.0,img22,12.34,C84854,2015-01-23,medium,"An Italian red grape known for bright acidity, firm tannins, and cherry flavors; key in Chianti wines."
2015,1,red wine,10632,Nebbiolo,1.42,0.0,1.0,1.0,img12,12.34,C17988,2015-01-15,medium,"A Piedmont grape famed for Barolo and Barbaresco; offers rose, tar, and red fruit notes with high tannin."
2015,1,red wine,10944,Zinfandel,1.42,0.0,3.0,3.0,img51,10.87,C77243,2015-01-16,medium,"A bold red grape popular in California, producing jammy wines with blackberry, spice, and pepper."
2015,1,red wine,10946,Syrah/Shiraz,1.42,0.0,5.0,5.0,img178,22.99,C75713,2015-01-10,high,"Known as Syrah in France and Shiraz in Australia; rich, full-bodied, with dark fruit and pepper."
2015,1,red wine,10954,Zinfandel,1.42,0.0,1.0,1.0,img15,20.62,C93431,2015-01-02,high,"A bold red grape popular in California, producing jammy wines with blackberry, spice, and pepper."
2015,1,red wine,10968,Syrah/Shiraz,1.42,0.0,1.0,1.0,img18,10.31,C15469,2015-01-05,medium,"Known as Syrah in France and Shiraz in Australia; rich, full-bodied, with dark fruit and pepper."
2015,1,red wine,11443,Malbec,1.42,0.0,1.0,1.0,img24,24.55,C60046,2015-01-18,high,"A dark, juicy red grape from Argentina and France; shows plum, blackberry, and cocoa notes."
2015,1,red wine,11529,Tempranillo,1.42,0.0,2.0,2.0,img169,22.49,C86448,2015-01-23,high,"Spain’s top red grape, key in Rioja wines; offers dried cherry, tobacco, and leather flavors."
2015,1,red wine,11539,Nebbiolo,1.42,0.0,2.0,2.0,img175,13.19,C29255,2015-01-22,medium,"A Piedmont grape famed for Barolo and Barbaresco; offers rose, tar, and red fruit notes with high tannin."
2015,1,red wine,11811,Malbec,1.42,0.0,4.0,4.0,img10,12.73,C97533,2015-01-03,medium,"A dark, juicy red grape from Argentina and France; shows plum, blackberry, and cocoa notes."
2015,1,red wine,11834,Cabernet Sauvignon,1.42,0.0,1.0,1.0,img3,12.75,C42818,2015-01-15,medium,"A global red grape; full-bodied with blackcurrant, cedar, and firm tannins; ages well."
2015,1,red wine,11918,Sangiovese,1.42,0.0,7.0,7.0,img27,14.56,C13917,2015-01-22,medium,"An Italian red grape known for bright acidity, firm tannins, and cherry flavors; key in Chianti wines."
2015,1,red wine,11987,Nebbiolo,1.42,0.0,3.0,3.0,img159,17.87,C64860,2015-01-01,medium,"A Piedmont grape famed for Barolo and Barbaresco; offers rose, tar, and red fruit notes with high tannin."
2015,1,red wine,12002,Malbec,1.42,0.0,1.0,1.0,img148,16.48,C45722,2015-01-13,medium,"A dark, juicy red grape from Argentina and France; shows plum, blackberry, and cocoa notes."
2015,1,red wine,12145,Tempranillo,1.42,0.0,1.0,1.0,img145,19.18,C88860,2015-01-23,medium,"Spain’s top red grape, key in Rioja wines; offers dried cherry, tobacco, and leather flavors."
2015,1,red wine,12251,Nebbiolo,1.42,0.0,1.0,1.0,img150,12.09,C90402,2015-01-26,medium,"A Piedmont grape famed for Barolo and Barbaresco; offers rose, tar, and red fruit notes with high tannin."
2015,1,red wine,12254,Pinot Noir,1.42,0.0,2.0,2.0,img158,14.38,C43837,2015-01-05,medium,"A delicate red grape from Burgundy and beyond; light-bodied with cherry, floral, and earthy tones."
2015,1,red wine,12631,Cabernet Sauvignon,1.42,0.0,1.0,1.0,img56,15.5,C08310,2015-01-18,medium,"A global red grape; full-bodied with blackcurrant, cedar, and firm tannins; ages well."
2015,1,red wine,12730,Zinfandel,1.42,0.0,2.0,2.0,img182,16.84,C79210,2015-01-15,medium,"A bold red grape popular in California, producing jammy wines with blackberry, spice, and pepper."
2015,1,red wine,12891,Syrah/Shiraz,1.42,0.0,1.0,1.0,img177,21.78,C22240,2015-01-09,high,"Known as Syrah in France and Shiraz in Australia; rich, full-bodied, with dark fruit and pepper."
2015,1,red wine,12934,Nebbiolo,1.42,0.0,2.0,2.0,img49,17.71,C83730,2015-01-14,medium,"A Piedmont grape famed for Barolo and Barbaresco; offers rose, tar, and red fruit notes with high tannin."
2015,1,red wine,13011,Sangiovese,1.42,0.0,1.0,1.0,img181,18.89,C82449,2015-01-09,medium,"An Italian red grape known for bright acidity, firm tannins, and cherry flavors; key in Chianti wines."
2015,1,red wine,13054,Pinot Noir,1.42,0.0,1.0,1.0,img41,10.7,C49099,2015-01-23,medium,"A delicate red grape from Burgundy and beyond; light-bodied with cherry, floral, and earthy tones."
2015,1,red wine,20093,Zinfandel,1.42,0.0,8.0,8.0,img7,12.56,C78317,2015-01-24,medium,"A bold red grape popular in California, producing jammy wines with blackberry, spice, and pepper."
2015,1,red wine,2194,Cabernet Sauvignon,1.42,0.0,42.0,42.0,img25,10.98,C54550,2015-01-28,medium,"A global red grape; full-bodied with blackcurrant, cedar, and firm tannins; ages well."
2015,1,red wine,2216,Tempranillo,1.42,0.0,2.0,2.0,img165,24.23,C68781,2015-01-02,high,"Spain’s top red grape, key in Rioja wines; offers dried cherry, tobacco, and leather flavors."
2015,1,red wine,22425,Cabernet Sauvignon,1.42,0.0,1.0,1.0,img157,24.48,C93587,2015-01-13,high,"A global red grape; full-bodied with blackcurrant, cedar, and firm tannins; ages well."
2015,1,red wine,22492,Nebbiolo,1.42,0.0,1.0,1.0,img156,22.13,C71139,2015-01-23,high,"A Piedmont grape famed for Barolo and Barbaresco; offers rose, tar, and red fruit notes with high tannin."
2015,1,red wine,22571,Zinfandel,1.42,0.0,4.0,4.0,img166,14.57,C61553,2015-01-17,medium,"A bold red grape popular in California, producing jammy wines with blackberry, spice, and pepper."
